200,English,Русский,French,Danish,Indonesian,Korean,Swedish,Tuskish,Ukranian,Vietnamese,Hungarian,German,Finnish,Czech,Italian,Norwegian,Chinese Trad,Chinese Simplified,Thai,Japanese,Romanian ,Arabic,Slovak,Spanish,Polish,Dutch,Portugese,hebrew
Argentina_Mesopotamia,Mesopotamia,Аргентинское Междуречье,Mésopotamie,Mesopotamien,Mesopotamia,메소포타미아,Mesopotamien,Mesopotamia,Месопотамія,Mesopotamia,Mesopotamia ,Mesopotamia,Mesopotamia,Mezopotámie,Mesopotamia,Mesopotamia,美索不達米亞地區 (阿根廷),美索不达米亚地区 (阿根廷),เมโสโปเตเมีย,メソポタミア,Mesopotamia,ما بين النهرين,Mesopotamia,Mesopotamia argentina,Międzyrzecze Argentyńskie,Mesopotamia,Mesopotâmia argentina,מסופוטמיה
Argentina_Northwest,Argentine Northwest,Аргентинский Северо-Запад,Nord-ouest argentin,Nordvest Argentina,Argentina Barat Daya,아르헨티나 북서부,Argentina nordväst,Kuzeybatı Arjantin,Північно-західна Аргентина,Argentine Northwest,Argentína - Észak-nyugat,Región Noroeste Argentino,Luoteis-Argentiina,Severozápad Argentiny,Ande del nordovest,Nordvest-Argentina,阿根廷西北地區,阿根廷西北地区,ตะวันตกเฉียงเหนือของอาร์เจนตินา,アルゼンチン北西部,Argentina de Nord-Vest,شمال غرب الأرجنتين,Argentína severozápad,Noroeste argentino,Północno-zachodnia Argentyna,Noordwest-Argentinië,Noroeste argentino,צפון-מערב ארגנטינה
Argentina_Pampas,Pampas,Пампасы,Pampa,Pampas,Pampa,팜파스,Pampas,Pampa,Пампа,Pampa,Pampas ,Pampa,Pampa,Pampy,Pampa,Pampa,彭巴草原,彭巴草原,ปัมปัส,パンパ,Pampas,بامبس,Pampa,Región pampeana,Pampa,Pampa's,Pampas,פמפס
Argentina_Patagonia,Patagonia,Патагония,Patagonie,Patagonien,Patagonia,파타고니아,Patagonien,Patagonya,Патагонія,Patagonia,Patagónia,Patagonien,Patagonia,Patagonie,Patagonia,Patagonia,巴塔哥尼亞,巴塔哥尼亚,ปาตาโกเนีย,パタゴニア,Patagonia,باتاغونيا,Patagónia,Patagonia,Patagonia,Patagonië,Patagónia,פטגוניה
Arizona,Arizona,Аризона,Arizona,Arizona,Arizona,애리조나 주,Arizona,Arizona,Аризона,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,亞利桑那州,亚利桑那州,รัฐแอริโซนา,アリゾナ州,Arizona,أريزونا,Arizona,Arizona,Arizona,Arizona,Arizona,אריזונה
Armenia,Armenia,Армения,Arménie,Armenien,Armenia,아르메니아,Armenien,Ermenistan,Вірменія,Armenia,Örményország,Armenien,Armenia,Arménie,Armenia,Armenia,亞美尼亞,亚美尼亚,ประเทศอาร์มีเนีย,アルメニア,Armenia,أرمينيا,Arménsko,Armenia,Armenia,Armenië,Arménia,ארמניה
Australia,Australia,Австралия,Australie,Australien,Australia,오스트레일리아,Australien,Avustralya,Австралійський Союз,Úc,Ausztrália,Australien,Australia,Austrálie,Australia,Australia,澳大利亞,澳大利亚,ประเทศออสเตรเลีย,オーストラリア,Australia,أستراليا,Austrália,Australia,Australia,Australië,Austrália,אוסטרליה
Australia_Melbourne,Melbourne,Мельбурн,Melbourne,Melbourne,Melbourne,멜버른,Melbourne,Melbourne,Мельбурн,Melbourne,Melbourne,Melbourne,Melbourne,Melbourne,Melbourne,Melbourne,墨爾本,墨尔本,เมลเบิร์น,メルボルン,Melbourne,ملبورن,Melbourne,Melbourne,Melbourne,Melbourne,Melbourne,מלבורן
Australia_New South Wales,New South Wales,Новый Южный Уэльс,Nouvelle-Galles du Sud,New South Wales,New South Wales,뉴사우스웨일스 주,New South Wales,Yeni Güney Galler,Новий Південний Уельс,New South Wales,Új-Dél-Wales,New South Wales,Uusi Etelä-Wales,Nový Jižní Wales,Nuovo Galles del Sud,New South Wales,新南威爾士州,新南威尔士州,รัฐนิวเซาท์เวลส์,ニューサウスウェールズ州,Noul Wales de Sud,نيوساوث ويلز,Nový Južný Wales,Nueva Gales del Sur,Nowa Południowa Walia,Nieuw-Zuid-Wales,Nova Gales do Sul,ניו סאות' ויילס
Australia_Northern Territory,Northern Territory,Северная территория,Territoire du Nord,Northern Territory,Wilayah Utara,노던 준주,Northern Territory,Kuzey Toprakları,Північна територія,Lãnh thổ Bắc Úc,Északi terület,Northern Territory,Pohjoisterritorio,Severní teritorium,Territorio del Nord,Nordterritoriet,北領地,北领地,นอร์เทิร์นเทร์ริทอรี,ノーザンテリトリー,Teritoriul de Nord,إقليم شمالي,Severné teritórium,Territorio del Norte,Terytorium Północne,Noordelijk Territorium,Território do Norte,הטריטוריה הצפונית
Australia_Queensland,Queensland,Квинсленд,Queensland,Queensland,Queensland,퀸즐랜드 주,Queensland,Queensland,Квінсленд,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,Queensland,昆士蘭州,昆士兰州,รัฐควีนส์แลนด์,クイーンズランド州,Queensland,كوينزلاند,Queensland,Queensland,Queensland,Queensland,Queensland,קווינסלנד
Australia_South Australia,South Australia,Южная Австралия,Australie-Méridionale,South Australia,Australia Selatan,사우스오스트레일리아 주,South Australia,Güney Avustralya,Південна Австралія,Nam Úc,Dél-Ausztrália,South Australia,Etelä-Australia,Jižní Austrálie,Australia Meridionale,Sør-Australia,南澳大利亞州,南澳大利亚州,รัฐเซาท์ออสเตรเลีย,南オーストラリア州,Australia de Sud,جنوب أستراليا,Južná Austrália,Australia Meridional,Australia Południowa,Zuid-Australië,Austrália Meridional,אוסטרליה הדרומית
Australia_Tasmania,Tasmania,Тасмания,Tasmanie,Tasmanien,Tasmania,태즈메이니아 주,Tasmanien,Tasmanya,Тасманія,Tasmania,Tasmania,Tasmanien,Tasmania,Tasmánie,Tasmania,Tasmania,塔斯馬尼亞州,塔斯马尼亚州,รัฐแทสเมเนีย,タスマニア州,Tasmania,تسمانيا,Tasmánia,Tasmania,Tasmania,Tasmanië,Tasmânia,טסמניה
Australia_Victoria,Victoria,Виктория,Victoria,Victoria,Victoria,빅토리아 주,Victoria,Victoria,Вікторія,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,Victoria,維多利亞州,维多利亚州,รัฐวิกตอเรีย,ビクトリア州,Victoria,ولاية فيكتوريا,Viktória,Victoria,Wiktoria,Victoria,Vitória,ויקטוריה
Australia_Western Australia,Western Australia,Западная Австралия,Australie-Occidentale,Western Australia,Australia Barat,웨스턴오스트레일리아 주,Western Australia,Batı Avustralya,Західна Австралія,Tây Úc,Nyugat-Ausztrália,Western Australia,Länsi-Australia,Západní Austrálie,Australia Occidentale,Vest-Australia,西澳大利亞州,西澳大利亚州,รัฐเวสเทิร์นออสเตรเลีย,西オーストラリア州,Australia de Vest,أستراليا الغربية,Západná Austrália,Australia Occidental,Australia Zachodnia,West-Australië,Austrália Ocidental,אוסטרליה המערבית
Austria,Austria,Австрия,Autriche,Østrig,Austria,오스트리아,Österrike,Avusturya,Австрія,Áo,Ausztria,Österreich,Itävalta,Rakousko,Austria,Østerrike,奧地利,奥地利,ประเทศออสเตรีย,オーストリア,Austria,النمسا,Rakúsko,Austria,Austria,Oostenrijk,Áustria,אוסטריה
Austria_Burgenland,Burgenland,Бургенланд,Burgenland,Burgenland,Burgenland,부르겐란트 주,Burgenland,Burgenland,Бургенланд,Burgenland,Burgenland,Burgenland,Burgenland,Burgenland,Burgenland,Burgenland,布爾根蘭州,布尔根兰州,รัฐบูร์เกนลันด์,ブルゲンラント州,Burgenland,بورغنلاند,Burgenland,Burgenland,Burgenland,Burgenland,Burgenland,בורגנלנד
Austria_Carinthia,Carinthia,Каринтия,Carinthie,Kärnten,Kärnten,케른텐 주,Kärnten,Karintiya,Каринтія,Kärnten,Karintia,Kärnten,Kärnten,Korutany,Carinzia,Kärnten,克恩頓州,克恩顿州,รัฐคารินเทีย,ケルンテン州,Carintia,كيرنتن,Korutánsko,Carintia,Karyntia,Karinthië,Caríntia,קרינתיה
Austria_Lower Austria_West,Lower Austria — West,Нижняя Австрия — Запад,Basse-Autriche — Ouest,Niederösterreich — Vest,Austria Hilir — Barat,니더외스터라이히 주 — 서,Niederösterreich — Väst,Aşağı Avusturya — Batı,Нижня Австрія — Захід,Niederösterreich — Tây,Alsó-Ausztria — Nyugat,Niederösterreich — Westen,Ala-Itävalta — Länsi,Dolní Rakousy — Západ,Bassa Austria — Ovest,Niederösterreich — Vest,下奧地利州 - 西部,下奥地利州 - 西部,รัฐโลว์เออร์ออสเตรีย — ตะวันตก,ニーダーエスターライヒ州・西部,Austria Inferioară — Vest,النمسا السفلى — غرب,Dolné Rakúsko — Západ,Baja Austria — Oeste,Dolna Austria — Zachód,Neder-Oostenrijk — West,Baixa Áustria — Oeste,אוסטריה תחתית — מַעֲרָב
Austria_Lower Austria_Wien,Vienna,Вена,Vienne,Wien,Wina,빈,Wien,Viyana,Відень,Viên,Bécs,Wien,Wien,Vídeň,Vienna,Wien,維也納,维也纳,เวียนนา,ウィーン,Viena,فيينا,Viedeň,Viena,Wiedeń,Wenen,Viena,וינה
Austria_Salzburg,Salzburg,Зальцбург,Salzbourg,Salzburg,Salzburg,잘츠부르크 주,Salzburg,Salzburg,Зальцбург,Salzburg,Salzburg,Salzburg,Salzburg,Salcbursko,Salisburghese,Salzburg,薩爾茨堡州,萨尔茨堡州,รัฐซาลซ์บูร์ก,ザルツブルク州,Salzburg,سالزبورغ,Salzbursko,Salzburgo,Salzburg,Salzburg,Salzburgo,זלצבורג
Austria_Styria,Styria,Штирия,Styrie,Steiermark,Stiria,슈타이어마르크 주,Steiermark,Steiermark,Штирія,Steiermark,Stájerország,Steiermark,Steiermark,Štýrsko,Stiria,Steiermark,施蒂利亞州,施蒂利亚州,รัฐสติเรีย,シュタイアーマルク州,Stiria,شتايرمارك,Štajersko,Estiria,Styria,Stiermarken,Estíria,שטיריה
Austria_Tyrol,Tyrol,Тироль,Tyrol,Tyrol,Tirol,티롤 주,Tyrolen,Tirol,Тіроль,Tirol,Tirol,Tirol,Tiroli,Tyrolsko,Tirolo,Tirol,蒂羅爾州,蒂罗尔州,รัฐทิโรล,チロル州,Tirol,تيرول,Tirolsko,Tirol,Tyrol,Tirol,Tirol,טירול
Austria_Upper Austria,Upper Austria,Верхняя Австрия,Haute-Autriche,Oberösterreich,Austria Hulu,오버외스터라이히 주,Oberösterreich,Yukarı Avusturya,Верхня Австрія,Oberösterreich,Felső-Ausztria,Oberösterreich,Ylä-Itävalta,Horní Rakousy,Alta Austria,Oberösterreich,上奧地利,上奥地利,รัฐอัปเปอร์ออสเตรีย,オーバーエスターライヒ州,Austria Superioară,النمسا العليا,Horné Rakúsko,Alta Austria,Górna Austria,Opper-Oostenrijk,Alta Áustria,אוסטריה עילית
Austria_Vorarlberg,Vorarlberg,Форарльберг,Vorarlberg,Vorarlberg,Vorarlberg,포어아를베르크 주,Vorarlberg,Vorarlberg,Форарльберг,Vorarlberg,Vorarlberg,Vorarlberg,Vorarlberg,Vorarlbersko,Vorarlberg,Vorarlberg,福拉爾貝格州,福拉尔贝格州,รัฐโฟราร์ลแบร์ก,フォアアールベルク州,Vorarlberg,فورآرلبرغ,Vorarlbersko,Vorarlberg,Vorarlberg,Vorarlberg,Vorarlberg,פורארלברג
Azerbaijan,Azerbaijan,Азербайджан,Azerbaïdjan,Aserbajdsjan,Azerbaijan,아제르바이잔,Azerbajdzjan,Azerbaycan,Азербайджан,Azerbaijan,Azerbajdzsán,Aserbaidschan,Azerbaidžan,Ázerbájdžán,Azerbaigian,Aserbajdsjan,阿塞拜疆,阿塞拜疆,ประเทศอาเซอร์ไบจาน,アゼルバイジャン,Azerbaidjan,أذربيجان,Azerbajdžan,Azerbaiyán,Azerbejdżan,Azerbeidzjan,Azerbaijão,אזרבייג'ן
Azerbaijan Region,Azerbaijan,Азербайджан,Azerbaïdjan,Aserbajdsjan,Azerbaijan,아제르바이잔,Azerbajdzjan,Azerbaycan,Азербайджан,Azerbaijan,Azerbajdzsán,Aserbaidschan,Azerbaidžan,Ázerbájdžán,Azerbaigian,Aserbajdsjan,阿塞拜疆,阿塞拜疆,ประเทศอาเซอร์ไบจาน,アゼルバイジャン,Azerbaidjan,أذربيجان,Azerbajdžan,Azerbaiyán,Azerbejdżan,Azerbeidzjan,Azerbaijão,אזרבייג'ן
Bahrain,Bahrain,Бахрейн,Bahreïn,Bahrain,Bahrain,바레인,Bahrain,Bahreyn,Бахрейн,Bahrain,Bahrein,Bahrain,Bahrain,Bahrajn,Bahrein,Bahrain,巴林,巴林,ประเทศบาห์เรน,バーレーン,Bahrain,البحرين,Bahrajn,Baréin,Bahrajn,Bahrein,Bahrein,בחריין
Bangladesh,Bangladesh,Бангладеш,Bangladesh,Bangladesh,Bangladesh,방글라데시,Bangladesh,Bangladeş,Бангладеш,Bangladesh,Banglades,Bangladesch,Bangladesh,Bangladéš,Bangladesh,Bangladesh,孟加拉國,孟加拉国,ประเทศบังกลาเทศ,バングラデシュ,Bangladesh,بنغلاديش,Bangladéš,Bangladés,Bangladesz,Bangladesh,Bangladesh,בנגלדש
Barbados,Barbados,Барбадос,Barbade,Barbados,Barbados,바베이도스,Barbados,Barbados,Барбадос,Barbados,Barbados,Barbados,Barbados,Barbados,Barbados,Barbados,巴巴多斯,巴巴多斯,ประเทศบาร์เบโดส,バルバドス,Barbados,باربادوس,Barbados,Barbados,Barbados,Barbados,Barbados,ברבדוס
Belarus,Belarus,Белоруссия,Biélorussie,Hviderusland,Belarus,벨라루스,Vitryssland,Beyaz Rusya,Білорусь,Belarus,Fehéroroszország,Weißrussland,Valko-Venäjä,Bělorusko,Bielorussia,Hviterussland,白俄羅斯,白俄罗斯,ประเทศเบลารุส,ベラルーシ,Belarus,بيلاروسيا,Bielorusko,Bielorrusia,Białoruś,Wit-Rusland,Bielorrússia,בלארוס
Belarus_Brest Region,Brest Region,Брестская область,Voblast de Brest,Brest oblast,Provinsi Brest,브레스트 주,Brests voblast,Brest Voblastı,Берестейська область,Brest Region,Breszti terület,Breszkaja Woblasz,Brestin alue,Brestská oblast,Voblasc' di Brėst,Brest,布列斯特州,布列斯特州,ภูมิภาคเบรสท์,ブレスト州,Regiunea Brest,بوبريسك أوبلاست,Brestská oblasť,Provincia de Brest,Obwód brzeski,Oblast Brest,Brest,ברסט
Belarus_Homiel Region,Gomel Region,Гомельская область,voblast de Homiel,Homel voblast,Provinsi Homiel,호몔 주,Homels voblast,Homyel Voblastı,Гомельська область,Gomel Region,Homeli terület,Woblast Homel,Homelin alue,Homelská oblast,Voblasc' di Homel',Homjel,戈梅利州,戈梅利州,ภูมิภาคโกเมล,ホメリ州,Regiunea Gomel,غومل أوبلاست,Homeľská oblasť,Provincia de Gómel,obwód homelski,Oblast Homel,Voblast de Homiel,הומל
Belarus_Hrodna Region,Grodno Region,Гродненская область,Voblast de Hrodna,Hrodna oblast,Provinsi Hrodna,흐로드나 주,Hrodnas voblast,Hrodna Voblastı,Гродненська область,Grodno Region,Hrodnai terület,Woblast Hrodna,Hrodnan alue,Hrodenská oblast,Voblasc' di Hrodna,Hrodna,格羅德諾州,格罗德诺州,ภูมิภาคกรอดโน,フロドナ州,Regiunea Hrodna,جردونه أوبلاست,Hrodnianska oblasť,Provincia de Grodno,Obwód grodzieński,Oblast Hrodna,Hrodna,הורדנה
Belarus_Maglieu Region,Mogilev Region,Могилёвская область,Voblast de Moguilev,Mahiljow voblast,Provinsi Mahilyow,마힐료프 주,Mahiljoŭs voblast,Mahilyov Voblastı,Могильовська область,Mogilev Region,Mahiljovi terület,Woblast Mahiljou,Mahiljoun alue,Mohylevská oblast,Voblasc' di Mahilëŭ,Mahiljow,莫吉廖夫州,莫吉廖夫州,ภูมิภาคโมลิเกฟ,マヒリョウ州,Regiunea Moghilău,موغيليوف أوبلاست,Mahiľovská oblasť,Provincia de Maguilov,Obwód mohylewski,Oblast Mahiljow,Voblast de Mahilou,מחוז מוהילב
Belarus_Minsk Region,Minsk Region,Минская область,Voblast de Minsk,Minsk voblast,Provinsi Minsk,민스크 주,Minsks voblast,Minsk Voblastı,Мінська область,Minsk Region,Minszki terület,Woblast Minsk,Minskin alue,Minská oblast,Voblasc' di Minsk,Minsk,明斯克州,明斯克州,ภูมิภาคมิสก์,ミンスク州,Regiunea Minsk,منطقة مينسك,Minská oblasť,Provincia de Minsk,Obwód miński,Oblast Minsk,Voblast de Minsk,מינסק
Belarus_Vitebsk Region,Vitebsk Region,Витебская область,Voblast de Vitebsk,Vitebsk,Provinsi Vitsebsk,비쳅스크 주,Vitsebsks voblast,Vitsebsk Voblastı,Вітебська область,Vitebsk Region,Vicebszki terület,Woblast Wizebsk,Vitsebskin alue,Vitebská oblast,Voblasc' di Vicebsk,Vitebsk,維捷布斯克州,维捷布斯克州,ภูมิภาควีเซียบสค์,ヴィーツェプスク州,Regiunea Vițebsk,فيتسبك أوبلاست,Vicebská oblasť,Provincia de Vítebsk,Obwód witebski,Oblast Vitebsk,Voblast de Viciebsk,ויטבסק
Belgium,Belgium,Бельгия,Belgique,Belgien,Belgia,벨기에,Belgien,Belçika,Бельгія,Bỉ,Belgium,Belgien,Belgia,Belgie,Belgio,Belgia,比利時,比利时,ประเทศเบลเยียม,ベルギー,Belgia,بلجيكا,Belgicko,Bélgica,Belgia,België,Bélgica,בלגיה
Belgium_Antwerp,Antwerp Province,Антверпен,Province d'Anvers,Antwerpen,Antwerpen,안트베르펜 주,Antwerpen,Anvers,Антверпен,Antwerp,Antwerpen,Provinz Antwerpen,Antwerpenin lääni,Antverpy,provincia d'Anversa,Antwerpen,安特衛普省,安特卫普省,มณฑลแอนต์เวิร์ป,アントウェルペン州,Anvers,أنتفيرب,Antverpy,Provincia de Amberes,Prowincja Antwerpia,Provincie Antwerpen,Antuérpia,
Belgium_East Flanders,East Flanders Province,Восточная Фландрия,Province de Flandre-Orientale,Østflandern,Flandria Timur,오스트플란데런 주,Östflandern,Doğu Flandre,Східна Фландрія,Oost-Vlaanderen,Kelet-Flandria,Provinz Ostflandern,Itä-Flanderi,Východní Flandry,provincia delle Fiandre Orientali,Øst-Flandern,東弗蘭德省,东弗兰德省,จังหวัดฟลานเดอร์ตะวันออก,オースト＝フランデレン州,Flandra de Est,فلاندر الشرقية,Východné Flámsko,Provincia de Flandes Oriental,Prowincja Flandria Wschodnia,Oost-Vlaanderen,Flandres Oriental,
Belgium_Flemish Brabant,Flemish Brabant Province,Фламандский Брабант,Brabant flamand,Vlaams-Brabant,Provinsi Flemish Brabant,플람스브라반트 주,Flamländska Brabant,Flaman Brabant,Фламандський Брабант,Vlaams-Brabant,Flamand-Brabant,Flämisch-Brabant,Flanderin Brabant,Vlámský Brabant,provincia del Brabante Fiammingo,Flamsk Brabant,弗拉芒-布拉班特省,弗拉芒-布拉班特省,มณฑลเฟลมิชบราบันต์,フラームス＝ブラバント州,Brabantul Flamand,برابانت فلاماند,Flámsky Brabant,Brabante Flamenco,Prowincja Brabancja Flamandzka,Vlaams-Brabant,Brabante Flamengo,
Belgium_Hainaut,Hainaut Province,Эно,Hainaut,Hainaut,Provinsi Hainaut,에노 주,Hainaut,Hainaut,Ено,Hainaut,Hainaut,Provinz Hennegau,Hainaut'n lääni,Henegavsko,provincia dell'Hainaut,Hainaut,埃諾省,埃诺省,มณฑลแอโน,エノー州,Hainaut,هينو,Hennegavsko,Provincia de Henao,Prowincja Hainaut,Henegouwen,Hainaut,
